Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Ortigosa-Hernández J., Rodríguez J.D., Alzate L., Lucania M., Inza I., Lozano J.A.",Approaching Sentiment Analysis by using semi-supervised learning of multi-dimensional classifiers,2012,Neurocomputing,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861480960&doi=10.1016%2fj.neucom.2012.01.030&partnerID=40&md5=18d28371438643f93e5520bcb3f2d0fa,"Sentiment Analysis is defined as the computational study of opinions, sentiments and emotions expressed in text. Within this broad field, most of the work has been focused on either Sentiment Polarity classification, where a text is classified as having positive or negative sentiment, or Subjectivity classification, in which a text is classified as being subjective or objective. However, in this paper, we consider instead a real-world problem in which the attitude of the author is characterised by three different (but related) target variables: Subjectivity, Sentiment Polarity, Will to Influence, unlike the two previously stated problems, where there is only a single variable to be predicted. For that reason, the (uni-dimensional) common approaches used in this area yield to suboptimal solutions to this problem. Somewhat similar happens with multi-label learning techniques which cannot directly tackle this problem. In order to bridge this gap, we propose, for the first time, the use of the novel multi-dimensional classification paradigm in the Sentiment Analysis domain. This methodology is able to join the different target variables in the same classification task so as to take advantage of the potential statistical relations between them. In addition, and in order to take advantage of the huge amount of unlabelled information available nowadays in this context, we propose the extension of the multi-dimensional classification framework to the semi-supervised domain. Experimental results for this problem show that our semi-supervised multi-dimensional approach outperforms the most common Sentiment Analysis approaches, concluding that our approach is beneficial to improve the recognition rates for this problem, and in extension, could be considered to solve future Sentiment Analysis problems. © 2012 Elsevier B.V..",EM algorithm; Multi-dimensional class Bayesian network classifiers; Multi-dimensional classification; Semi-supervised learning; Sentiment Analysis,Bayesian network classifiers; Classification framework; Classification tasks; Computational studies; EM algorithms; Learning techniques; Multi-dimensional approach; Multi-label; Negative sentiments; Polarity classification; Real-world problem; Recognition rates; Semi-supervised; Semi-supervised learning; Sentiment analysis; Single variable; Statistical relations; Suboptimal solution; Algorithms; Bayesian networks; Data mining; Supervised learning; Text processing; article; Bayes theorem; Bayesian network classifier; classification; classifier; data mining; learning algorithm; machine learning; mathematical computing; priority journal; semi supervised learning; sentiment analysis,2-s2.0-84861480960
"Qiu B., Zhao K., Mitra P., Wu D., Caragea C., Yen J., Greer G.E., Portier K.","Get online support, feel better-sentiment analysis and dynamics in an online cancer survivor community",2011,"Proceedings - 2011 IEEE International Conference on Privacy, Security, Risk and Trust and IEEE International Conference on Social Computing, PASSAT/SocialCom 2011",34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856163855&doi=10.1109%2fPASSAT%2fSocialCom.2011.127&partnerID=40&md5=f4b5824704449bccc746ec04bca4cb8b,"Many users join online health communities (OHC) to obtain information and seek social support. Understanding the emotional impacts of participation on patients and their informal caregivers is important for OHC managers. Ethnographical observations, interviews, and questionnaires have reported benefits from online health communities, but these approaches are too costly to adopt for large-scale analyses of emotional impacts. A computational approach using machine learning and text mining techniques is demonstrated using data from the American Cancer Society Cancer Survivors Network (CSN), an online forum of nearly a half million posts. This approach automatically estimates the sentiment of forum posts, discovers sentiment change patterns in CSN members, and allows investigation of factors that affect the sentiment change. This first study of sentiment benefits and dynamics in a large-scale health-related electronic community finds that an estimated 75%-85% of CSN forum participants change their sentiment in a positive direction through online interactions with other community members. Two new features, Name and Slang, not previously used in sentiment analysis, facilitate identifying positive sentiment in posts. This work establishes foundational concepts for further studies of sentiment impact of OHC participation and provides insight useful for the design of new OHC's or enhancement of existing OHCs in providing better emotional support to their members. © 2011 IEEE.",,American Cancer Society; Change patterns; Computational approach; Large-scale analysis; Online forums; Online interaction; Online support; Sentiment analysis; Social support; Text mining techniques; Data mining; Diseases; Dynamics; Health; Surveys; Health risks,2-s2.0-84856163855
Chen H.,Business and market intelligence 2.0,2010,IEEE Intelligent Systems,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952826883&doi=10.1109%2fMIS.2010.27&partnerID=40&md5=e9eed84cba89c090e7c369593613c4d9,"Some articles on Business and Market Intelligence 2.0 from distinguished experts in marketing science, finance, accounting, and computer science, are presented. 'The Phase Transition of Markets and Organizations: The New Intelligence and Entrepreneurial Frontier', characterizes phase transition in markets and organizations as a move from individuals and resources being separate to being together. 'User- Generated Content on Social Media: Predicting New Product Market Success from Online Word of Mouth', explores the predictive validity of various text and sentiment measures of online word of mouth (WOM) for the market success of new products. 'On Data- Driven Analysis of User-Generated Content', discusses data-driven approaches, including content and network analysis that can be used to derive insights and characterize user-generated content from companies and other organizations.",,Data-driven analysis; Data-driven approach; Market intelligence; Market success; Network analysis; New product; Social media; User-generated content; Word of mouth; Electric network analysis; Mobile telecommunication systems; Phase transitions; Societies and institutions; Commerce,2-s2.0-77952826883
"Lau R.Y.K., Ma J., Lai C.C.L., Li Y.",Automatic domain ontology extraction for context-sensitive opinion mining,2009,ICIS 2009 Proceedings - Thirtieth International Conference on Information Systems,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870971792&partnerID=40&md5=4af56e4496ee5f69eed11f5943a81a30,"Automated analysis of the sentiments presented in online consumer feedbacks can facilitate both organizations' business strategy development and individual consumers' comparison shopping. Nevertheless, existing opinion mining methods either adopt a context-free sentiment classification approach or rely on a large number of manually annotated training examples to perform context-sensitive sentiment classification. Guided by the design science research methodology, we illustrate the design, development, and evaluation of a novel fuzzy domain ontology based context-sensitive opinion mining system. Our novel ontology extraction mechanism underpinned by a variant of Kullback-Leibler divergence can automatically acquire contextual sentiment knowledge across various product domains to improve the sentiment analysis processes. Evaluated based on a benchmark dataset and real consumer reviews collected from Amazon.com, our system shows remarkable performance improvement over the context-free baseline.",Domain ontology; Fuzzy sets; Kullback-leibler divergence; Ontology extraction; Opinion mining; Sentiment analysis; Sentiment context,Domain ontologies; Kullback Leibler divergence; Ontology Extraction; Opinion mining; Sentiment analysis; Sentiment context; Benchmarking; Design; Fuzzy sets; Information systems; Mining; Data mining,2-s2.0-84870971792
"Roberts C., Henneberry J.",Exploring office investment decision-making in different European contexts,2007,Journal of Property Investment and Finance,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547489113&doi=10.1108%2f14635780710746939&partnerID=40&md5=e91d3cdd3b03b9046d03d36e070adcee,"Purpose - Studies of UK and US property investment markets have historically portrayed the decision-making process as an exercise in rational analysis. This notion is fundamentally flawed as the concept of a perfect market has limited applicability to the real world context in which property investment decisions are taken. Investment decision-making is neither clinical nor methodical but is undertaken by imperfect players in imperfect markets using imperfect information. The purpose of this paper is to explore the decision making processes of investors. Design/methodology/approach - A normative-behavioural framework incorporating heuristics is used, a technique whose application in property research has previously been limited to valuation. The empirical vehicle for the research was an exploration of the spatial dimension of office property investment in different European contexts. Findings - The findings of in-depth case studies of investment decision-making in France, Germany and the UK indicate that the decision-making process, as perceived by institutional investors, does not deviate significantly from normative models. However, investors tend to ""collapse down"" the decision-making process, taking shortcuts to achieve (in some cases, predefined) investment outcomes. These short-cuts potentially leave the decision-making process open to the influence of bias, judgement and sentiment. Originality/value - This study represents the first attempt to explore, empirically and in detail, the property investment decision-making process.",Decision making; France; Germany; Investments; Real estate; United Kingdom,,2-s2.0-34547489113
"Paxton P., Mughan A.",What's to fear from immigrants? Creating an assimilationist threat scale,2006,Political Psychology,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745533905&doi=10.1111%2fj.1467-9221.2006.00520.x&partnerID=40&md5=fdd64ba8ca0facb79d771821d43b2e13,"We argue that cultural threat, stressed in recent studies of anti-immigrant sentiment, is properly measured in the U.S. case as ""assimilationist threat"": a resentful perception that immigrants are failing to adopt the cultural norms and lifestyle of their new home-land. We explore the meaning and form of assimilationist threat in the minds of Americans through an analysis of four focus groups, two in Los Angeles, CA, and two in Columbus, OH. Using information from the focus groups, we develop and test a set of survey questions covering three dimensions of immigrants' commitment to their new country: language, productivity, and citizenship. We produce a summary scale of assimilationist threat that can be used by other researchers seeking to understand the causes and consequences of anti-immigrant sentiment. © 2006 International Society of Political Psychology.",Anti-immigrant sentiment; Assimilationist threat scale; Cultural threat; Focus groups; Question formulation,,2-s2.0-33745533905
Dittmann S.,Vaccine safety: Risk communication - A global perspective,2001,Vaccine,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035925669&doi=10.1016%2fS0264-410X%2800%2900470-9&partnerID=40&md5=79d8e0215f731714ed2ca2cce6a59e55,"The complexity of risks connected with both vaccine-preventable diseases as well as with immunization will be discussed and used as the basis for conclusions: • what should be done to avoid damage to current and future immunization programs and • how to improve risk communication. The need for more complete data on true, perceived and unknown immunization risks necessitates strengthening our research capabilities as well as surveillance and vaccine safety programs, and to critically examine the factors influencing public sentiments, taking into account that public perceptions of risk vary depending on the characteristics of risk. A concerted effort is needed to improve benefit and risk communication at all levels. The medical community should play a key role for improved communication. © 2001 Elsevier Science Ltd.",Immunization benefit; Immunization risks; Risk communication,BCG vaccine; chickenpox vaccine; diphtheria pertussis tetanus vaccine; diphtheria tetanus toxoid; diphtheria vaccine; Haemophilus influenzae type b vaccine; influenza vaccine; Japanese encephalitis vaccine; measles mumps rubella vaccine; measles vaccine; mumps vaccine; oral poliomyelitis vaccine; pertussis vaccine; Rotavirus vaccine; rubella vaccine; tetanus toxoid; vaccine; yellow fever vaccine; childhood disease; conference paper; drug approval; drug induced disease; drug safety; drug surveillance program; good manufacturing practice; health hazard; human; medical information; medical service; preventive health service; priority journal; public opinion; quality control; risk assessment; risk benefit analysis; vaccination; Communication; Diphtheria; Disease Outbreaks; Drug Approval; Humans; Measles; Poliomyelitis; Quality Control; Risk; Safety; Treatment Refusal; Vaccination; Vaccines; Whooping Cough,2-s2.0-0035925669
Sayer A.,"Bourdieu, Smith and disinterested judgement",1999,Sociological Review,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033177151&partnerID=40&md5=c1e0aa14dce28205517b50f071f00d2b,"The paper presents a sympathetic critique of Bourdieu's work in terms of the tension between its critical intentions and its leanings towards sociological reductionism. Although Bourdieu argues against such reductionism in his methodological pronouncements, his empirical studies tend to reduce actors' putative disinterested judgements to functions of their habitus in relation to the social field and to unconscious strategies of distinction. Further, his concept of (non-monetary) forms of capital occludes the difference between use-value and exchange-value and the corresponding distinction between the pursuit of goods and the pursuit of distinction, which are vital for both explanation and critique. Moreover his suspicion of normative judgement on the part of social science and his concealment of his own normative standpoint subvert his critiques. Thus in relation to Bourdieu's analysis of the role of misrecognition in social life I argue that this requires a delineation of the extent of justified recognition. In developing the argument I draw upon Adam Smith's analysis of moral sentiments and his critique of undeserved recognition and the pursuit of distinction. Where Bourdieu is dismissive about moral issues, Smith treats moral sentiments as irreducible to interest or instrumental action and as a significant element in the reproduction of social order. The paper concludes with some implications for the nature of critique in socia theory.",,,2-s2.0-0033177151
Keil G.,"So-called initial description of phantom pain by Ambroise Paré. ""Chose digne d'admiration et quasi incredible"": the ""douleur ès parties mortes et amputées"" [Sogenannte Erstbeschreibung des Phantomschmerzes von Ambroise Paré. ""Chose digne d'admiration et quasi incredible"": die ""douleur ès parties mortes et amputées"".]",1990,Fortschritte der Medizin,34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-19244372122&partnerID=40&md5=565cc0c27deb37931c942b4fa7b18cdd,"In his (1552 (1554?) ""Harquebusses and other guns"" tractate the French surgeon, Ambroise Paré (1510-1590) described the post-amputation syndrome-considered to be the first description of this syndrome--which, on hermaneutic analysis, proves surprisingly complete: Paré differentiated pre-amputation pain (""la douleur ès parties mortes"") from post-operative symptoms; he differentiated stump pain from phantom-limb sensations (""faux sentiments""), and he succeeded in distinguishing pain-free exteroceptive sensations--the so-called phantom-limb sensation--from phantom-limb pain proper (""la douleur ès parties amputées""). He characterised the psychogenic pain syndrome (""se plaigner fort""), described protracted, intermittent and delayed courses, as also exogenous modulating factors which--e.g. the weather (""les causes froides"")--exacerbate the situation, or--e.g. massage--can also ameliorate it. Furthermore, he made use of psychological factors to combat pain, and rejected the use of multiple peripheral surgery to treat pain. He proposed two neurological models to explain the etiology of phantom-limb pain, one postulating peripheral changes in stump nerves, the other, involving memory, suggesting a cerebral origin, and locating algogenesis in the brain.",,"agnosia; amputation; article; France; history; history of medicine; human; Amputation; English Abstract; France; History of Medicine, 16th Cent.; Human; Phantom Limb",2-s2.0-19244372122
"He W., Wu H., Yan G., Akula V., Shen J.",A novel social media competitive analytics framework with sentiment benchmarks,2015,Information and Management,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942297531&doi=10.1016%2fj.im.2015.04.006&partnerID=40&md5=ddcdaafebc13ec34972ccedeec1375b4,"In today's competitive business environment, there is a strong need for businesses to collect, monitor, and analyze user-generated data on their own and on their competitors' social media sites, such as Facebook, Twitter, and blogs. To achieve a competitive advantage, it is often necessary to listen to and understand what customers are saying about competitors' products and services. Current social media analytics frameworks do not provide benchmarks that allow businesses to compare customer sentiment on social media to easily understand where businesses are doing well and where they need to improve. In this paper, we present a social media competitive analytics framework with sentiment benchmarks that can be used to glean industry-specific marketing intelligence. Based on the idea of the proposed framework, new social media competitive analytics with sentiment benchmarks can be developed to enhance marketing intelligence and to identify specific actionable areas in which businesses are leading and lagging to further improve their customers' experience using customer opinions gleaned from social media. Guided by the proposed framework, an innovative business-driven social media competitive analytics tool named VOZIQ is developed. We use VOZIQ to analyze tweets associated with five large retail sector companies and to generate meaningful business insight reports. © 2015 Elsevier B.V. All rights reserved.",Big data; Competitive analytics; Marketing intelligence; Sentiment analysis; Sentiment benchmarks; Social media; Social media analytics; Social media monitoring; Text mining; User-generated data,Big data; Commerce; Competition; Data mining; Marketing; Natural language processing systems; Sales; Competitive analytics; Marketing intelligences; Sentiment analysis; Social media; Social media analytics; Social media monitoring; Text mining; User-generated; Social networking (online),2-s2.0-84942297531
"Chen T., Yu F.X., Chen J., Cui Y., Chen Y.-Y., Chang S.-F.",Object-based visual sentiment concept analysis and application,2014,MM 2014 - Proceedings of the 2014 ACM Conference on Multimedia,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913593458&doi=10.1145%2f2647868.2654935&partnerID=40&md5=6b02e39cb8f9e4397751e28bd49b078d,"This paper studies the problem of modeling object-based visual concepts such as ""crazy car"" and ""shy dog"" with a goal to extract emotion related information from social multimedia content. We focus on detecting such adjectivenoun pairs because of their strong co-occurrence relation with image tags about emotions. This problem is very challenging due to the highly subjective nature of the adjectives like ""crazy"" and ""shy"" and the ambiguity associated with the annotations. However, associating adjectives with concrete physical nouns makes the combined visual concepts more detectable and tractable. We propose a hierarchical system to handle the concept classification in an object specific manner and decompose the hard problem into object localization and sentiment related concept modeling. In order to resolve the ambiguity of concepts we propose a novel classification approach by modeling the concept similarity, leveraging on online commonsense knowledgebase. The proposed framework also allows us to interpret the classifiers by discovering discriminative features. The comparisons between our method and several baselines show great improvement in classification performance. We further demonstrate the power of the proposed system with a few novel applications such as sentiment-aware music slide shows of personal albums.",Affective computing; Social multimedia; Visual sentiment,Hierarchical systems; Affective Computing; Classification approach; Classification performance; Concept classification; Discriminative features; Multimedia contents; Social multimedia; Visual sentiment; Classification (of information),2-s2.0-84913593458
"Borth D., Chen T., Ji R.-R., Chang S.-F.",Sentibank: Large-scale ontology and classifiers for detecting sentiment and emotions in visual content,2013,MM 2013 - Proceedings of the 2013 ACM Multimedia Conference,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887475339&doi=10.1145%2f2502081.2502268&partnerID=40&md5=64696f35f58fe567775bb04098cf8499,"A picture is worth one thousand words, but what words should be used to describe the sentiment and emotions con- veyed in the increasingly popular social multimedia? We demonstrate a novel system which combines sound struc- Tures from psychology and the folksonomy extracted from social multimedia to develop a large visual sentiment ontol- ogy consisting of 1,200 concepts and associated classifiers called SentiBank. Each concept, defined as an Adjective Noun Pair (ANP), is made of an adjective strongly indicat- ing emotions and a noun corresponding to objects or scenes that have a reasonable prospect of automatic detection. We believe such large-scale visual classifiers offer a powerful mid- level semantic representation enabling high-level sentiment analysis of social multimedia. We demonstrate novel appli- cations made possible by SentiBank including live sentiment prediction of social media and visualization of visual content in a rich intuitive semantic space. Copyright © 2013 ACM.",Affect; Concept detection; Emotion; Ontology; Sentiment analysis; Social multimedia,Affect; Concept detection; Emotion; Sentiment analysis; Social multimedia; Ontology; Semantics; Data mining,2-s2.0-84887475339
"Alonso S., Claro da Fonseca S.","Immigration, left and right",2012,Party Politics,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869032346&doi=10.1177%2f1354068810393265&partnerID=40&md5=0741181f244c6e1ec92a32ed610a22ca,"Using data from the Comparative Manifestos Project, we compare the policy positions of left and right parties with regard to immigration across 18 West European countries between 1975 and 2005. We test two main hypotheses: First, we expect that mainstream parties will exploit anti-immigrant sentiments in the electorate regardless of extreme right competition. This would indicate that the extreme Right is not the only driving force behind the recent 'anti-immigrant turn' of electoral politics in Western Europe. Second, we expect the mainstream Left to become increasingly critical towards immigration as its mainstream and/or extreme right competitors intensify their populist rhetoric. Being 'tough' on immigration is thus not a prerogative of the Right. We conclude that the impact of the extreme Right on the electoral behaviour of mainstream right parties has been overstated in previous studies. © The Author(s) 2011.",content analysis; immigration; left-right classification; political parties; social issues; Western Europe,,2-s2.0-84869032346
Swami V.,Social psychological origins of conspiracy theories: The case of the Jewish conspiracy theory in Malaysia,2012,Frontiers in Psychology,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867127381&doi=10.3389%2ffpsyg.2012.00280&partnerID=40&md5=2bb0a8ad27ad74cd5ab8457d02f7ce6f,"Two studies examined correlates of belief in a Jewish conspiracy theory among Malays in Malaysia, a culture in which state-directed conspiracism as a means of dealing with per-ceived external and internal threats is widespread. In Study 1, 368 participants from Kuala Lumpur, Malaysia, completed a novel measure of belief in a Jewish conspiracy theory, along with measures of general conspiracist ideation, and anomie. Initial analysis showed that the novel scale factorially reduced to a single dimension. Further analysis showed that belief in the Jewish conspiracy theory was only significantly associated with gen-eral conspiracist ideation, but the strength of the association was weak. In Study 2, 314 participants completed the measure of belief in the Jewish conspiracy theory, along with measures of general conspiracist ideation, and ideological attitudes. Results showed that belief in the Jewish conspiracy theory was associated with anti-Israeli attitudes, modern racism directed at the Chinese, right-wing authoritarianism, and social dominance orien-tation. General conspiracist ideation did not emerge as a significant predictor once other variables had been accounted for.These results suggest that there may be specific cultural and social psychological forces that drive belief in the Jewish conspiracy theory within the Malaysian context. Specifically, belief in the Jewish conspiracy theory among Malaysian Malays appears to serve ideological needs and as a mask for anti-Chinese sentiment, which may in turn reaffirm their perceived ability to shape socio-political processes. © 2012 Swami.",Anti-semitism; Conspiracy theories; Malaysia; Modern racism; Monological belief system,,2-s2.0-84867127381
"Gruzd A., Doiron S., Mai P.",Is happiness contagious online? A case of twitter and the 2010 Winter Olympics,2011,Proceedings of the Annual Hawaii International Conference on System Sciences,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952955349&doi=10.1109%2fHICSS.2011.259&partnerID=40&md5=663c8cfb2e062faf41992e88f511e419,"Is happiness contagious online? To answer this question, this paper investigates the posting behavior of users on Twitter.com, a popular online service for sharing short messages. Specifically, we use automated sentiment analysis to study a large sample of over 46,000 Twitter messages that reference the 2010 Winter Olympics. We determined that there are more positive messages than negative, and that positive messages are more likely to be forwarded than negative messages. However, we were not able to confirm with a reliable degree of certainty that the emotional context of messages is directly related to the user's position in the Twitter network. It is likely that there are other factors involved as well. For example, we found that negative users were more prolific posters than positive users, suggesting their more argumentative and passionate nature. This paper concludes with some implications for the Twitter community and a description of our follow-up study. © 2011 IEEE.",,Degree of certainty; Follow-up Studies; Olympics; On-line service; Sentiment analysis; Short message; Systems science; Social networking (online),2-s2.0-79952955349
"Goldberg A.B., Fillmore N., Andrzejewski D., Xu Z., Gibson B., Zhu X.",May all your wishes come true: A study of wishes and how to recognize them,2009,"NAACL HLT 2009 - Human Language Technologies: The 2009 Annual Conference of the North American Chapter of the Association for Computational Linguistics, Proceedings of the Conference",33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863337641&partnerID=40&md5=06f03dd9ddcc321457b095286ca2c1ed,"A wish is ""a desire or hope for something to happen."" In December 2007, people from around the world offered up their wishes to be printed on confetti and dropped from the sky during the famous New Year's Eve ""ball drop"" in New York City's Times Square. We present an in-depth analysis of this collection of wishes. We then leverage this unique resource to conduct the first study on building general ""wish detectors"" for natural language text. Wish detection complements traditional sentiment analysis and is valuable for collecting business intelligence and insights into the world's wants and desires. We demonstrate the wish detectors' effectiveness on domains as diverse as consumer product reviews and online political discussions. © 2009 Association for Computational Linguistics.",,In-depth analysis; Natural language text; New York city; Sentiment analysis; Consumer products; Computational linguistics,2-s2.0-84863337641
Piedmont R.L.,Cross-cultural generalizability of the Spiritual Transcendence Scale to the Philippines: Spirituality as a human universal,2007,"Mental Health, Religion and Culture",33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547443302&doi=10.1080%2f13694670500275494&partnerID=40&md5=c5b32124cd1bcc16f79bc97b6d9ee648,"The Spiritual Transcendence Scale (STS) has been developed to operationalize spirituality as an intrinsic source of motivation that impels individuals to create a broad sense of personal meaning for their lives. Spiritual Transcendence is nondenominational in nature and hypothesized to underlie the development of religious sentiments. To further support the universal nature of Spiritual Transcendence, the STS was translated into a native Filipino language, Tagalog. Using two different, varied samples of Filipino adults (N = 654 and 248, respectively), this study demonstrated that scores on the translated version evidenced acceptable levels of internal consistency, structural validity, and incremental validity over personality in predicting a wide range of psychosocial outcomes, like well-being and interpersonal style. Further analyses also indicated that the Tagalog version of the STS produced comparable means and standard deviations to its English counterpart. The data provided support for the hypothesis that spirituality is a robust, universal human quality because two languages that are etymologically distinct both include terms that describe transcendent experiences. The STS appears to be an empirically robust measure of these qualities that can be useful for researchers interested in establishing cross-cultural linkages in spiritual motivation.",,adolescent; adult; affect; aged; article; controlled study; cultural anthropology; female; human; internal consistency; linguistics; male; motivation; personality; Philippines; psychological rating scale; psychological well being; religion; scoring system; social psychology; Spiritual Transcendence Scale; validity,2-s2.0-34547443302
"Kunce M., Anderson A.L.",The impact of socioeconomic factors on state suicide rates: A methodological note,2002,Urban Studies,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036137562&doi=10.1080%2f00420980220099131&partnerID=40&md5=fa2122b8b0839bd8462a7717661f9b54,"This note examines the purported impact of conventional socioeconomic and social environment factors on annual, state-level suicide rates. Results from an inductive fixed-effects (covariance) analysis, of state-level time-series/cross-section data for the period 1985-95, do little to support Durkheim's social causes hypothesis that aggregate socioeconomic factors matter in explaining state suicide rates. A possible source of heterogeneity-aggregation bias is identified raising question surrounding past inferences made in aggregate suicide research. The data and empirical method support a mounting sentiment of an abiding ecological fallacy in the suicide literature. Implications of this investigation call for a shift in research focus and method to a smaller unit of analysis (for example, individual-level, controlling for key social processes).",,methodology; socioeconomic conditions; suicide,2-s2.0-0036137562
"Isabella R.A., Belsky J.",Marital Change During the Transition to Parenthood and Security of Infant-Parent Attachment,1985,Journal of Family Issues,33,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022199247&doi=10.1177%2f019251385006004006&partnerID=40&md5=afd4b54bdbfb2f0f98c6362ffa4d3e2d,"To extend research on the characteristics and determinants of marital change during the transition to parenthood to include the consequences of such change, the security of infant-parent attachment was examined. Drawing on data from a longitudinal study of infant and family development, groups were formed on the basis of attachment security at one year and compared in terms of patterns of marital change displayed by mothers and fathers. Mothers of insecure infants experienced significantly greater declines in positive marital activities and sentiments and greater increases in negative marital activities and sentiments than did mothers of secure one-year-olds, and this difference emerged between three and nine months postpartum. Even before babies were born, mothers of secure and insecure infants differed in their marital appraisal. Specifically, mothers of secure infants tended to base their prenatal marital satisfaction appraisals more on positive than negative aspects of the marriage whereas the reverse was true of mothers of insecure infants. No relationship between marital change and attachment was discerned for husbands. © 1985, SAGE PUBLICATIONS. All rights reserved.",,nuptiality; adolescent; age; anamnesis; article; behavior; birth order; birth rate; Comparative Studies; comparative study; Currently Married; data analysis; Demographic Factors; demography; developed country; developing country; family; Family And Household; Family Relationships; family size; fertility; Fertility Measurements; First Birth; human relation; Husband-wife Comparisons; infant; juvenile; longitudinal study; marriage; multivariate analysis; North America; Northern America; parent; parity; personality; population; population and population related phenomena; population dynamics; Pregnancy History; primiparity; prospective study; Psychological Factors; psychology; puerperium; reproduction; research; Research Methodology; Research Report; social adaptation; social behavior; Studies; United States; Western Hemisphere; Age Factors; Americas; Behavior; Comparative Studies; Currently Married; Data Analysis; Demographic Factors; Developed Countries; Developing Countries; Family And Household; Family Characteristics; Family Relationships; Fertility; Fertility Measurements; First Birth; Husband-wife Comparisons; Infant; Interpersonal Relations; Longitudinal Studies; Marital Status; Marriage; Multivariate Analysis; North America; Northern America; Nuptiality; Parents; Parity; Personality; Population; Population Characteristics; Population Dynamics; Pregnancy History; Primiparity; Prospective Studies; Psychological Factors; Puerperium; Reproduction; Research Methodology; Research Report; Social Adjustment; Social Behavior; Studies; United States; Youth; Adolescent; Age Factors; Americas; Behavior; Birth Order; Birth Rate; Comparative Study; Demography; Developed Countries; Developing Countries; Family Characteristics; Family Relations; Fertility; Infant; Interpersonal Relations; Longitudinal Studies; Marital Status; Marriage; Multivariate Analysis; North America; Parents; Parity; Personality; Population; Population Characteristics; Population Dynamics; Prospective Studies; Psychology; Puerperium; Reproduction; Reproductive History; Research; Social Adjustment; Social Behavior; Statistics; United States,2-s2.0-0022199247
"Novak P.K., Smailović J., Sluban B., Mozetič I.",Sentiment of emojis,2015,PLoS ONE,32,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955449861&doi=10.1371%2fjournal.pone.0144296&partnerID=40&md5=634b697e6978f58c98b92103bda4a69b,"There is a new generation of emoticons, called emojis, that is increasingly being used in mobile communications and social media. In the past two years, over ten billion emojis were used on Twitter. Emojis are Unicode graphic symbols, used as a shorthand to express concepts and ideas. In contrast to the small number of well-known emoticons that carry clear emotional contents, there are hundreds of emojis. But what are their emotional contents? We provide the first emoji sentiment lexicon, called the Emoji Sentiment Ranking, and draw a sentiment map of the 751 most frequently used emojis. The sentiment of the emojis is computed from the sentiment of the tweets in which they occur. We engaged 83 human annotators to label over 1.6 million tweets in 13 European languages by the sentiment polarity (negative, neutral, or positive). About 4% of the annotated tweets contain emojis. The sentiment analysis of the emojis allows us to draw several interesting conclusions. It turns out that most of the emojis are positive, especially the most popular ones. The sentiment distribution of the tweets with and without emojis is significantly different. The inter-Annotator agreement on the tweets with emojis is higher. Emojis tend to occur at the end of the tweets, and their sentiment polarity increases with the distance. We observe no significant differences in the emoji rankings between the 13 languages and the Emoji Sentiment Ranking. Consequently, we propose our Emoji Sentiment Ranking as a European languageindependent resource for automated sentiment analysis. Finally, the paper provides a formalization of sentiment and a novel visualization in the form of a sentiment bar. © 2015 Kralj Novak et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,handwriting; human; human experiment; language; mass medium; social media; emotion; Europe; Internet; nomenclature; social media; Emotions; Europe; Humans; Internet; Social Media; Terminology as Topic,2-s2.0-84955449861
